amfi_code,scheme_name,fund_house,sub_category,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio_computed,alpha,max_drawdown_pct_computed,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,score_0_100
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,1.53,5.81,0.2923,0.175,-23.34,14.0,18.0,23.0,12.5,32.0,18.375,41.9
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,1.54,13.59,0.2397,0.1317,-14.84,25.0,16.0,17.0,10.5,16.0,18.075000000000003,40.7
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,1.59,6.33,0.2551,0.1304,-17.57,15.0,17.0,16.0,6.0,24.0,15.25,28.8
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,1.56,9.84,-0.0582,0.078,-24.0,17.0,12.0,12.0,8.0,33.0,15.0,27.7
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.72,-3.46,-0.1362,0.0488,-52.57,4.0,10.0,5.0,35.5,40.0,14.025,23.6
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.55,5.54,-0.8506,0.0507,-8.32,13.0,5.0,6.0,40.0,6.0,12.950000000000001,19.1
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,1.53,-5.57,0.0526,0.109,-35.45,2.0,14.0,14.0,12.5,38.0,12.575000000000001,17.5
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.74,4.96,-3.6502,0.0675,-0.1,11.0,3.0,10.0,34.0,1.0,11.249999999999998,12.0
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.6,4.52,-4.0003,0.0646,-0.12,10.0,2.0,9.0,38.0,2.0,11.2,11.8
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,1.38,-9.74,-0.1517,0.048,-51.68,1.0,9.0,4.0,24.0,39.0,10.85,10.3
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,0.77,2.95,-0.7431,0.0562,-4.33,7.0,6.0,7.0,32.0,5.0,10.3,8.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.56,4.11,-1.0399,0.0428,-4.31,8.0,4.0,3.0,39.0,4.0,10.25,7.8
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,0.79,4.34,-4.6504,0.0609,-0.16,9.0,1.0,8.0,30.0,3.0,9.350000000000001,4.0
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,1.51,-3.66,-0.2949,0.029,-28.0,3.0,8.0,1.0,16.5,35.0,9.075,2.8
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.64,0.05,-0.131,0.069,-14.4,6.0,11.0,11.0,1.5,15.0,8.475,0.3
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.55,-1.8,-0.321,0.0375,-24.73,5.0,7.0,2.0,9.0,34.0,8.4,0.0
